Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51321600000000E+01,,,,,,,,,
Afghanistan,AFG,"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67096700000000E+01,,,,,,,,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46156700000000E+01,,,,,,,,,,3.74558400000000E+01,,,,,,,,,,4.10000000000000E+01,,,,
Afghanistan,AFG,"Access to electricity, rural (% of population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03601100000000E+01,,,,,,,,,,2.42806500000000E+01,,,,,,,,,,2.90000000000000E+01,,,,
Afghanistan,AFG,"Access to electricity, urban (% of population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.80000000000000E+01,,,,,,,,,,8.00000000000000E+01,,,,,,,,,,8.06373337923318E+01,,,,
Afghanistan,AFG,Access to non-solid fuel (% of households),EG.NSF.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00000000000000E+00,,,,,,,,,,8.57015000000000E+00,,,,,,,,,,1.48667800000000E+01,,,,
Afghanistan,AFG,"Access to non-solid fuel, rural (% of households)",EG.NSF.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00000000000000E+00,,,,
Afghanistan,AFG,"Access to non-solid fuel, urban (% of households)",EG.NSF.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60000000000000E+01,,,,
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29331000000000E+01,,,,,,,
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89968000000000E+01,,,,,,,
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24231000000000E+01,,,,,,,
Afghanistan,AFG,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,2.67007000000000E+01,,,,,,,,,,,,,,,,,,,2.79608700000000E+01,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,8.50015000000000E+00,,,,,,,,,,,,,,,,,,,1.41176200000000E+01,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,4.40285200000000E+01,,,,,,,,,,,,,,,,,,,4.10393300000000E+01,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73667707729009E+09,,,,,,,,,
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,1.63526073637373E+09,1.69919949926049E+09,1.47457021532166E+09,1.59723589365734E+09,1.94541069055537E+09,2.13220951623930E+09,2.30595512306107E+09,2.66994888764132E+09,2.97819925128921E+09,3.29576017386656E+09,3.17250934929118E+09,3.04767774920298E+09,,,,,,,,,,,,,,,,,,,,2.23069506140661E+09,3.71827008673540E+09,4.12536038335573E+09,4.78821545737774E+09,5.73667707729009E+09,6.43769758824126E+09,8.89787910103996E+09,9.21002745088064E+09,1.13022157268062E+10,1.43627613173985E+10,1.61007808247946E+10,1.85142756642034E+10,,
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30751399229435E+02,,,,,,,,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1.48449255504863E+02,1.50060281937185E+02,1.26633671798986E+02,1.33477261379018E+02,1.58503815840287E+02,1.69872943718729E+02,1.80056948065995E+02,2.04837706175885E+02,2.25628043893250E+02,2.48602877928505E+02,2.40698452826860E+02,2.35091606651002E+02,,,,,,,,,,,,,,,,,,,,1.04493059813268E+02,1.67468476134746E+02,1.78462322274873E+02,1.99353797072535E+02,2.30751399229435E+02,2.51165649390509E+02,3.37690122674111E+02,3.40705842402696E+02,4.07901669163926E+02,5.05769997963171E+02,5.53187263181868E+02,6.20773301023137E+02,,
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,,,,,,,,,,,1.23091993164499E-01,1.41554269350707E-01,1.38399489128331E-01,1.45555259375535E-01,1.51152082507511E-01,1.69077043041057E-01,1.56515788619041E-01,1.75328972287795E-01,1.53521774640968E-01,1.55824835489469E-01,1.37297957660500E-01,1.79195297200306E-01,,,,,,,,,,,,,,,,,,,,1.84407474147636E-01,6.30790402939061E-02,9.51731231292184E-02,1.07665015342644E-01,1.31173778426537E-01,1.59620492894576E-01,1.77582114372183E-01,3.49064145223290E-01,4.82284851488010E-01,4.88749620389092E-01,4.76994351135129E-01,4.89099768586571E-01,,
Afghanistan,AFG,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,,,,,,,,,,,2.19650821257215E+06,2.64548884686724E+06,2.25744643725703E+06,2.57794221674496E+06,3.32870475893096E+06,4.08790717397045E+06,4.08680122741105E+06,5.29103862406745E+06,5.17538948935876E+06,5.88354644516238E+06,5.10275188052973E+06,6.36414785284727E+06,7.23586659379601E+06,9.13776764231451E+06,1.07634778676021E+07,1.39083017619211E+07,1.28800283046044E+07,1.33313095681259E+07,1.28051277967412E+07,1.30148530628289E+07,1.31881515060609E+07,1.28698748470454E+07,7.62544021606538E+06,7.60166714531641E+06,7.53895815059453E+06,7.48369840539724E+06,7.29203085338932E+06,6.97995378375905E+06,6.76586540129046E+06,5.47478865856642E+06,5.31007806671612E+06,4.53949667303575E+06,2.59878312494490E+06,4.35565560837554E+06,5.69929607862186E+06,8.24587345029184E+06,1.13344939073644E+07,1.75338028437595E+07,3.57216012738768E+07,6.04826651280616E+07,7.81939998755830E+07,8.56342465285223E+07,1.00791963028818E+08,,
Afghanistan,AFG,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,6.15256943464828E+00,6.22118398584948E+00,6.00041118807719E+00,6.13008972156099E+00,6.46476813974410E+00,6.11103164098243E+00,6.22063829299388E+00,6.42823000060531E+00,6.58963234083147E+00,6.75681280661057E+00,6.87766404913460E+00,6.80825106996378E+00,,,,,,,,,,,,,,,,,,,,6.69367483577043E+00,7.50759225703854E+00,7.66438966804634E+00,7.86025816748619E+00,7.32445384986177E+00,7.45815730093602E+00,7.95116747443044E+00,7.99053019423909E+00,8.27636808252425E+00,8.57195826867722E+00,8.72627039248640E+00,8.91675747005666E+00,,
